period,window,model,seed,mse_log_rv,mae_log_rv,qlike_variance,directional_accuracy,rmse_log_rv
last12,120,QR2,1,0.10547448279047265,0.29644180078035864,0.2093438681775355,0.6666666666666666,0.32476835250755676
last12,120,QR2,2,0.15947279542249637,0.3624702199211125,0.2956758608448253,0.5,0.3993404505212268
last12,120,QR2,3,0.10120553104919383,0.2801300157135351,0.20515646919790317,0.75,0.318128167645045
last12,120,QR2,4,0.1411588692230074,0.3277790709959569,0.26598370040737346,0.6666666666666666,0.37571115131575133
last12,120,LSTM,0,0.06888700797766018,0.22882211096279026,0.13558449883728516,0.5833333333333334,0.26246334596979476
last12,120,LSTM,1,0.07234356509786115,0.23303130212674372,0.14411393660248514,0.6666666666666666,0.2689675911664101
last12,120,LSTM,2,0.07095305660962058,0.23182488924445332,0.14222894538578235,0.75,0.26637014962195105
last12,120,LSTM,3,0.0692543453827087,0.2288235263455839,0.14018334510633726,0.75,0.2631622035602923
last12,120,LSTM,4,0.06478230109723404,0.2239441426918436,0.13014541517370842,0.75,0.25452367492481726
last12,120,LSTMX,0,0.08136170033168189,0.24663543586346537,0.155932774144023,0.75,0.28523972432268596
last12,120,LSTMX,1,0.08210949152978807,0.24289727011419324,0.1587941814133453,0.6666666666666666,0.28654753799289234
last12,120,LSTMX,2,0.08393556083404723,0.2490992157245118,0.15659902740529816,0.75,0.2897163454726834
last12,120,LSTMX,3,0.07892268151754005,0.23650222117465206,0.14977216357387227,0.75,0.28093180937291534
last12,120,LSTMX,4,0.0841774346143177,0.24877818562235854,0.1639238328366613,0.6666666666666666,0.29013347723818034
