run_id,configuration,model,seed,window,target_month,forecast_origin,training_start,training_end,actual_log_rv,previous_log_rv,predicted_log_rv,status,warnings,seconds,error,mse_log_rv,mae_log_rv,mse_rv,mae_rv,qlike_variance,directional_accuracy
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,1,571,2026-06-30,2026-05-31,1978-11-30,2026-05-31,-3.0168147582707263,-3.5119546359486353,-3.3146215008732667,ok,[],1.4536833330057561,,0.08868885593953572,0.29780674260254036,0.00015898956115811347,0.012609106279118813,0.2185300686658198,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,1,571,2026-07-31,2026-06-30,1978-12-31,2026-06-30,-3.371829178429884,-3.0168147582707263,-3.198689907627471,ok,[],1.467346666031517,,0.02997720709399141,0.17313927080241331,4.2105189499960345e-05,0.006488851169502992,0.05359398449151537,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,1,571,2026-08-31,2026-07-31,1979-01-31,2026-07-31,-3.507788998946598,-3.371829178429884,-3.356097249203242,ok,[],1.4657866669585928,,0.023010386940200904,0.15169174974335586,2.408843658500048e-05,0.004907997207110094,0.04169939778947812,0.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,2,571,2025-09-30,2025-08-31,1978-02-28,2025-08-31,-3.844352655797379,-3.3885720022366694,-3.56200021839347,ok,[],1.4841683749109507,,0.07972289890792837,0.28235243740390903,4.874479535880428e-05,0.00698174729983865,0.1332327837170999,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,2,571,2025-10-31,2025-09-30,1978-03-31,2025-09-30,-3.200601249147139,-3.844352655797379,-3.576546788845775,ok,[],1.49200483399909,,0.1413350488192985,0.37594553969863576,0.0001629599760880295,0.01276557778120636,0.36911614010604943,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,2,571,2025-11-30,2025-10-31,1978-04-30,2025-10-31,-3.1877347547552812,-3.200601249147139,-3.334796052686329,ok,[],1.4830232081003487,,0.02162702534916438,0.14706129793104772,3.184785730383612e-05,0.005643390585794689,0.047825815043039066,0.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,2,571,2025-12-31,2025-11-30,1978-05-31,2025-11-30,-3.669080341092571,-3.1877347547552812,-3.32665917426963,ok,[],1.4866237919777632,,0.11725225548838446,0.3424211668229411,0.00010843001036448183,0.01041297317601855,0.18901204755518913,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,2,571,2026-01-31,2025-12-31,1978-06-30,2025-12-31,-3.5432987087435324,-3.669080341092571,-3.2934580682816152,ok,[],1.4907008750597015,,0.06242034562642094,0.24984064046191712,6.736251919952385e-05,0.008207467282878675,0.10640528433752366,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,2,571,2026-02-28,2026-01-31,1978-07-31,2026-01-31,-3.319307735691405,-3.5432987087435324,-3.4835970281305455,ok,[],1.4830054579069838,,0.026990971610153458,0.1642892924391406,3.0042158616163733e-05,0.005481072761436737,0.060413804958903916,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,2,571,2026-03-31,2026-02-28,1978-08-31,2026-02-28,-2.9305511753093016,-3.319307735691405,-3.30778362933175,ok,[],1.4916067500598729,,0.14230432436779858,0.3772324540224483,0.0002812469279412895,0.016770418239903544,0.37200845203883093,1.0
